Description,TIMESTAMP
Statistics: FilesDownloaded:357; TotalNumberOfFiles:920328; SnapshotSizeBytes:3026625412349; ReusedBytes:3026228270899; DownloadedBytes:396727043; RunTimeInSec:250; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:55:12.991993Z
Statistics: FilesDownloaded:33; TotalNumberOfFiles:704807; SnapshotSizeBytes:1151150972571; ReusedBytes:1151150453518; DownloadedBytes:42674; RunTimeInSec:350; ManifestTimeSec:18; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989815; FilesFilterOutBySize:0,2020-07-02T12:56:37.8295102Z
Statistics: FilesDownloaded:45; TotalNumberOfFiles:704137; SnapshotSizeBytes:1148640937764; ReusedBytes:1148534272816; DownloadedBytes:106175152; RunTimeInSec:184; ManifestTimeSec:10; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T12:57:00.2284331Z
Statistics: FilesDownloaded:37; TotalNumberOfFiles:921082; SnapshotSizeBytes:3213336252441; ReusedBytes:3213335659580; DownloadedBytes:128179; RunTimeInSec:247; ManifestTimeSec:14; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T12:59:20.8998397Z
Statistics: FilesDownloaded:29; TotalNumberOfFiles:648846; SnapshotSizeBytes:1148180699036; ReusedBytes:1148152578816; DownloadedBytes:62159426; RunTimeInSec:177; ManifestTimeSec:10; CleanupTimeSec:0; CSWDoneSizeBytes:1542543346167; FilesFilterOutBySize:0,2020-07-02T12:59:58.1851948Z
Statistics: FilesDownloaded:53; TotalNumberOfFiles:596162; SnapshotSizeBytes:1150590544958; ReusedBytes:1150482804947; DownloadedBytes:168927755; RunTimeInSec:350; ManifestTimeSec:15; CleanupTimeSec:1; CSWDoneSizeBytes:1539927421763; FilesFilterOutBySize:0,2020-07-02T13:02:29.6559501Z
Statistics: FilesDownloaded:35; TotalNumberOfFiles:704137; SnapshotSizeBytes:1148640951443; ReusedBytes:1148637736149; DownloadedBytes:2727764; RunTimeInSec:179; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T13:02:58.1413534Z
Statistics: FilesDownloaded:30; TotalNumberOfFiles:865880; SnapshotSizeBytes:3211967153887; ReusedBytes:3211938973286; DownloadedBytes:62159426; RunTimeInSec:240; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T13:03:21.8106803Z
Statistics: FilesDownloaded:28; TotalNumberOfFiles:704137; SnapshotSizeBytes:1148640944332; ReusedBytes:1148640480340; DownloadedBytes:0; RunTimeInSec:185; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T13:06:04.0396524Z
Statistics: FilesDownloaded:28; TotalNumberOfFiles:921082; SnapshotSizeBytes:3213336258748; ReusedBytes:3213333068851; DownloadedBytes:2720986; RunTimeInSec:245; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T13:07:27.6483494Z
Statistics: FilesDownloaded:36; TotalNumberOfFiles:704809; SnapshotSizeBytes:1151150981237; ReusedBytes:1151147711213; DownloadedBytes:2754301; RunTimeInSec:334; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989815; FilesFilterOutBySize:0,2020-07-02T13:08:05.5670506Z
Statistics: FilesDownloaded:58; TotalNumberOfFiles:704137; SnapshotSizeBytes:1148640944303; ReusedBytes:1148585872659; DownloadedBytes:54582255; RunTimeInSec:205; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T13:09:30.3493432Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:840045; SnapshotSizeBytes:3197868109533; ReusedBytes:3197757811687; DownloadedBytes:109789101; RunTimeInSec:248; ManifestTimeSec:19; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T13:11:36.6944457Z
Statistics: FilesDownloaded:25; TotalNumberOfFiles:623464; SnapshotSizeBytes:1135912057646; ReusedBytes:1135856420463; DownloadedBytes:55282290; RunTimeInSec:198; ManifestTimeSec:9; CleanupTimeSec:0; CSWDoneSizeBytes:1541325761219; FilesFilterOutBySize:0,2020-07-02T13:12:49.4387012Z
Statistics: FilesDownloaded:35; TotalNumberOfFiles:515489; SnapshotSizeBytes:1137739320559; ReusedBytes:1137628959405; DownloadedBytes:109840777; RunTimeInSec:365; ManifestTimeSec:13; CleanupTimeSec:1; CSWDoneSizeBytes:1537923388397; FilesFilterOutBySize:0,2020-07-02T13:14:12.0933901Z
Statistics: FilesDownloaded:37; TotalNumberOfFiles:921084; SnapshotSizeBytes:3213336351760; ReusedBytes:3213051941787; DownloadedBytes:284001474; RunTimeInSec:248; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T13:15:45.4416717Z
Statistics: FilesDownloaded:29; TotalNumberOfFiles:704137; SnapshotSizeBytes:1148640946534; ReusedBytes:1148640453930; DownloadedBytes:6746; RunTimeInSec:178; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386682; FilesFilterOutBySize:0,2020-07-02T13:15:48.6913673Z
Statistics: FilesDownloaded:38; TotalNumberOfFiles:704139; SnapshotSizeBytes:1148640949078; ReusedBytes:1148534387901; DownloadedBytes:106049836; RunTimeInSec:183; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386328; FilesFilterOutBySize:0,2020-07-02T13:18:52.2501413Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:921084; SnapshotSizeBytes:3213336351705; ReusedBytes:3213335877839; DownloadedBytes:0; RunTimeInSec:247; ManifestTimeSec:12; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T13:19:53.6780047Z
Statistics: FilesDownloaded:42; TotalNumberOfFiles:704811; SnapshotSizeBytes:1151150986116; ReusedBytes:1151043822179; DownloadedBytes:106649713; RunTimeInSec:345; ManifestTimeSec:17; CleanupTimeSec:1; CSWDoneSizeBytes:1540944989461; FilesFilterOutBySize:0,2020-07-02T13:19:58.8227987Z
Statistics: FilesDownloaded:29; TotalNumberOfFiles:704139; SnapshotSizeBytes:1148640949092; ReusedBytes:1148640431670; DownloadedBytes:6736; RunTimeInSec:181; ManifestTimeSec:8; CleanupTimeSec:0; CSWDoneSizeBytes:1543452386328; FilesFilterOutBySize:0,2020-07-02T13:21:54.5045739Z
Statistics: FilesDownloaded:26; TotalNumberOfFiles:921084; SnapshotSizeBytes:3213336351899; ReusedBytes:3213335884978; DownloadedBytes:0; RunTimeInSec:249; ManifestTimeSec:19; CleanupTimeSec:0; CSWDoneSizeBytes:0; FilesFilterOutBySize:0,2020-07-02T13:24:03.4301601Z
